"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 20 09:29:14 UTC 2026","Mon Apr 20 09:29:15 UTC 2026","1221","","com.saucedemo.tests.InventoryTest","","com.saucedemo.tests.InventoryTest","testProductDetailsVisibility","Verify product details page visibility",""
"passed","Mon Apr 20 09:28:54 UTC 2026","Mon Apr 20 09:28:57 UTC 2026","2880","","com.saucedemo.tests.LoginTest","","com.saucedemo.tests.LoginTest","testLockedOutUserLogin","Verify error message for locked out user",""
"failed","Mon Apr 20 09:29:06 UTC 2026","Mon Apr 20 09:29:12 UTC 2026","6613","","com.saucedemo.tests.CartTest","","com.saucedemo.tests.CartTest","testCartOperations","Verify adding/removing products from cart",""
"passed","Mon Apr 20 09:29:13 UTC 2026","Mon Apr 20 09:29:14 UTC 2026","711","","com.saucedemo.tests.SwagLabsTest","","com.saucedemo.tests.SwagLabsTest","testPageTitle","Verify page title is Swag Labs",""
"failed","Mon Apr 20 09:28:59 UTC 2026","Mon Apr 20 09:29:06 UTC 2026","6660","","com.saucedemo.tests.CheckoutTest","","com.saucedemo.tests.CheckoutTest","testSuccessfulCheckout","Verify complete checkout process",""
"passed","Mon Apr 20 09:29:12 UTC 2026","Mon Apr 20 09:29:13 UTC 2026","966","","com.saucedemo.tests.SwagLabsTest","","com.saucedemo.tests.SwagLabsTest","testLogout","Verify successful logout",""
"passed","Mon Apr 20 09:28:57 UTC 2026","Mon Apr 20 09:28:58 UTC 2026","1017","","com.saucedemo.tests.LoginTest","","com.saucedemo.tests.LoginTest","testInvalidLogin","Verify error message for invalid credentials",""
"passed","Mon Apr 20 09:29:15 UTC 2026","Mon Apr 20 09:29:16 UTC 2026","1115","","com.saucedemo.tests.InventoryTest","","com.saucedemo.tests.InventoryTest","testInventoryPageTitle","Verify inventory page title",""
"passed","Mon Apr 20 09:28:58 UTC 2026","Mon Apr 20 09:28:59 UTC 2026","1109","","com.saucedemo.tests.LoginTest","","com.saucedemo.tests.LoginTest","testStandardUserLogin","Verify successful login with standard_user","Logging in with standard_user credentials should redirect to the inventory page."
